Game#,Enemies_Killed,HP_Lost,End_Status,Turns_Survived,Score,Time at End of Simulation,,,Depth=1
1,0,3,Lose,71,-2570,4:53 AM,,,
2,0,3,Lose,142,-2304,4:58 AM,,,
3,0,3,Lose,87,-2689,5:00 AM,,,
4,0,3,Lose,51,-2675,5:00 AM,,,
5,0,3,Lose,247,-2074,5:05 AM,,,
6,0,3,Lose,156,-2430,5:09 AM,,,
7,0,2,Win,300,10625,5:15 AM,,,
8,0,3,Lose,137,-2469,5:18 AM,,,
9,0,3,Lose,62,-2629,5:18 AM,,,
10,0,3,Lose,67,-2519,5:19 AM,,,
11,0,3,Lose,128,-2423,11:06 AM,,,
12,0,3,Lose,227,-2179,11:12 AM,,,
13,0,3,Lose,41,-2610,11:15 AM,,,
14,0,3,Lose,200,-2241,11:19 AM,,,
15,0,3,Lose,62,-2624,11:20 AM,,,
16,0,3,Lose,104,-2607,11:22 AM,,,
17,0,3,Lose,255,-1991,11:29 AM,,,
18,0,3,Lose,169,-2447,11:30 AM,,,
19,0,3,Lose,11,-2790,11:30 AM,,,
20,0,3,Lose,34,-2767,11:31 AM,,,
21,0,3,Lose,242,-2184,11:37 AM,,,
22,0,3,Lose,30,-2721,11:37 AM,,,
23,0,3,Lose,203,-2128,11:40 AM,,,
24,0,3,Lose,217,-2229,11:44 AM,,,
25,0,2,Win,300,10470,11:51 AM,,,
26,0,3,Lose,163,-2233,11:53 AM,,,
27,0,3,Lose,98,-2643,11:57 AM,,,
28,0,3,Lose,132,-2474,11:59 AM,,,
29,0,3,Lose,82,-2569,12:00 PM,,,
30,0,3,Lose,217,-2319,12:02 PM,,,
